crash_date,crash_time,borough,zip_code,latitude,longitude,location,on_street_name,cross_street_name,off_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,contributing_factor_vehicle_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,collision_id,vehicle_type_code_1,vehicle_type_code_2,vehicle_type_code_3,vehicle_type_code_4,vehicle_type_code_5,crash_hour,crash_year,crash_month
2016-11-12,23:55:00,BRONX,10461,40.83425,-73.82908,"(40.83425, -73.82908)",EAST TREMONT AVENUE             ,HASKIN STREET,,0,0,0,0,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,3599779,Sedan,Bike,,,,23,2016,2016-11
2013-09-24,14:00:00,BROOKLYN,11201,40.6891376,-73.9907077,"(40.6891376, -73.9907077)",BOERUM PLACE                    ,ATLANTIC AVENUE                 ,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,190538,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,14,2013,2013-09
2025-01-01,07:50:00,BRONX,10463,40.884544,-73.89758,"(40.884544, -73.89758)",,,3817      BAILEY AVE,0,0,0,0,0,0,0,0,Unspecified,,,,,4784108,Sedan,,,,,7,2025,2025-01
2023-10-16,09:20:00,BROOKLYN,11215,40.676147,-73.98391,"(40.676147, -73.98391)",4 AVENUE,CARROLL STREET,,1,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4671665,Sedan,E-Scooter,,,,9,2023,2023-10
2015-09-24,22:00:00,Unknown,,,,,PELHAM PARKWAY                  ,BOSTON ROAD                     ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3303242,PASSENGER VEHICLE,BUS,,,,22,2015,2015-09
2016-09-07,18:00:00,BRONX,10466,40.897053,-73.851006,"(40.897053, -73.851006)",,,4367      GUNTHER AVENUE                ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3515321,,,,,,18,2016,2016-09
2019-10-16,21:30:00,Unknown,,40.826424,-73.95254,"(40.826424, -73.95254)",WEST 144 STREET                 ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4225443,Sedan,,,,,21,2019,2019-10
2012-08-10,15:25:00,STATEN ISLAND,10304,40.5932616,-74.1106455,"(40.5932616, -74.1106455)",TODT HILL ROAD                  ,FOUR CORNERS ROAD               ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,293693,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,15,2012,2012-08
2020-03-05,13:00:00,Unknown,,40.61879,-73.99426,"(40.61879, -73.99426)",68 STREET                       ,,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4297825,Station Wagon/Sport Utility Vehicle,Sedan,,,,13,2020,2020-03
2015-07-03,11:15:00,BROOKLYN,11220,40.6309121,-74.0143208,"(40.6309121, -74.0143208)",68 STREET                       ,8 AVENUE                        ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3251632,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,11,2015,2015-07
2012-09-10,08:50:00,STATEN ISLAND,10304,40.6296221,-74.0766644,"(40.6296221, -74.0766644)",WAVE STREET                     ,BAY STREET                      ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,285398,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,8,2012,2012-09
2016-07-01,12:54:00,BROOKLYN,11234,40.608204,-73.920715,"(40.608204, -73.920715)",FLATBUSH AVENUE                 ,AVENUE V,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3474346,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,12,2016,2016-07
2014-11-21,19:10:00,Unknown,,,,,COOP CITY BOULEVARD             ,BELLAMY LOOP                    ,,1,0,1,0,0,0,0,0,Unspecified,,,,,2828015,UNKNOWN,,,,,19,2014,2014-11
2019-07-03,13:45:00,BROOKLYN,11205,40.68911,-73.966034,"(40.68911, -73.966034)",,,320       WASHINGTON AVENUE             ,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4164506,Sedan,Sedan,,,,13,2019,2019-07
2019-11-09,12:21:00,BRONX,10462,40.83349,-73.85145,"(40.83349, -73.85145)",,,1261      CASTLE HILL AVENUE            ,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,4238833,Station Wagon/Sport Utility Vehicle,Sedan,,,,12,2019,2019-11
2023-02-08,13:50:00,QUEENS,11422,40.665558,-73.72985,"(40.665558, -73.72985)",SUNRISE HIGHWAY,HOOK CREEK BOULEVARD,,4,0,0,0,0,0,4,0,Unspecified,Unspecified,,,,4604116,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,13,2023,2023-02
2018-03-29,14:52:00,BROOKLYN,11230,40.626568,-73.970924,"(40.626568, -73.970924)",AVENUE I                        ,OCEAN PARKWAY,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3872641,Sedan,Sedan,,,,14,2018,2018-03
2012-12-21,19:12:00,Unknown,,40.8239016,-73.8765159,"(40.8239016, -73.8765159)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,2888742,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,19,2012,2012-12
2015-06-26,01:46:00,BRONX,10466,40.8909207,-73.851982,"(40.8909207, -73.851982)",EAST 232 STREET                 ,BRONXWOOD AVENUE                ,,2,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,3247643,OTHER,OTHER,,,,1,2015,2015-06
2017-01-26,10:00:00,Unknown,,40.65183,-74.003334,"(40.65183, -74.003334)",38 STREET                       ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3604660,Sedan,ROAD,,,,10,2017,2017-01
2014-11-01,20:30:00,BRONX,10454,40.8075593,-73.9192258,"(40.8075593, -73.9192258)",EAST 138 STREET                 ,BROOK AVENUE                    ,,0,0,0,0,0,0,0,0,Pavement Slippery,Pavement Slippery,Unspecified,,,2817233,BUS,PASSENGER VEHICLE,UNKNOWN,,,20,2014,2014-11
2021-11-22,12:23:00,BROOKLYN,11236,40.646782,-73.89144,"(40.646782, -73.89144)",EAST 107 STREET,AVENUE J,,2,0,0,0,0,0,2,0,Driver Inexperience,Unspecified,,,,4479967,Sedan,Station Wagon/Sport Utility Vehicle,,,,12,2021,2021-11
2023-01-07,00:40:00,MANHATTAN,10011,40.742283,-74.004425,"(40.742283, -74.004425)",9 AVENUE,WEST 16 STREET,,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,4596026,Sedan,E-Bike,,,,0,2023,2023-01
2015-12-02,21:00:00,Unknown,,40.7454838,-73.9703274,"(40.7454838, -73.9703274)",,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,3345104,PASSENGER VEHICLE,,,,,21,2015,2015-12
2014-01-31,19:45:00,BROOKLYN,11226,40.643005,-73.9526229,"(40.643005, -73.9526229)",CLARENDON ROAD                  ,EAST 26 STREET                  ,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,140483,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,19,2014,2014-01
2019-08-28,15:00:00,BRONX,10456,40.831055,-73.905846,"(40.831055, -73.905846)",3 AVENUE                        ,EAST 168 STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,4196666,Taxi,,,,,15,2019,2019-08
2016-06-23,19:00:00,BROOKLYN,11230,40.612854,-73.96001,"(40.612854, -73.96001)",AVENUE O                        ,EAST 14 STREET,,2,0,0,0,0,0,2,0,Traffic Control Disregarded,Passenger Distraction,Unspecified,,,3468185,4 dr sedan,4 dr sedan,4 dr sedan,,,19,2016,2016-06
2017-11-20,10:40:00,BROOKLYN,11210,40.625904,-73.93434,"(40.625904, -73.93434)",,,4301      AVENUE K                      ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3795065,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,10,2017,2017-11
2018-10-31,19:53:00,Unknown,,40.709747,-73.82057,"(40.709747, -73.82057)",VAN WYCK EXPWY                  ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4013713,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,19,2018,2018-10
2013-10-07,15:40:00,BROOKLYN,11206,40.6989727,-73.957019,"(40.6989727, -73.957019)",FLUSHING AVENUE                 ,BEDFORD AVENUE                  ,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,196989,PASSENGER VEHICLE,BICYCLE,,,,15,2013,2013-10
2020-01-27,12:45:00,Unknown,,,,,184 STREET                      ,HORACE HOARDING EXPRESSWAY,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4279712,Station Wagon/Sport Utility Vehicle,Sedan,,,,12,2020,2020-01
2024-06-04,15:17:00,BRONX,10458,40.87637,-73.88286,"(40.87637, -73.88286)",MOSHOLU PARKWAY,VANCORTLANDT AVENUE EAST,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4731809,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,15,2024,2024-06
2015-01-15,09:00:00,QUEENS,11373,40.7349373,-73.8849335,"(40.7349373, -73.8849335)",GORSLINE STREET                 ,KNEELAND AVENUE                 ,,1,0,1,0,0,0,0,0,Passenger Distraction,,,,,3153566,PASSENGER VEHICLE,,,,,9,2015,2015-01
2018-05-23,23:51:00,Unknown,,40.844864,-73.92256,"(40.844864, -73.92256)",CROSS BRONX EXPY                ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3906354,Tractor Truck Diesel,Tractor Truck Diesel,,,,23,2018,2018-05
2018-06-16,17:40:00,BRONX,10472,40.83294,-73.87145,"(40.83294, -73.87145)",,,1320      CROES AVENUE                  ,0,0,0,0,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,3923991,Sedan,Bike,,,,17,2018,2018-06
2012-10-31,13:15:00,MANHATTAN,10017,40.7482147,-73.9685398,"(40.7482147, -73.9685398)",EAST 42 STREET                  ,FDR DRIVE                       ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,33269,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,13,2012,2012-10
2014-08-10,02:18:00,MANHATTAN,10022,40.7602226,-73.967462,"(40.7602226, -73.967462)",EAST 57 STREET                  ,3 AVENUE                        ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,1006282,TAXI,UNKNOWN,,,,2,2014,2014-08
2017-08-23,14:36:00,Unknown,,40.698544,-73.96236,"(40.698544, -73.96236)",BROOKLYN QUEENS EXPRESSWAY      ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3736282,Sedan,Pick-up Truck,,,,14,2017,2017-08
2017-10-15,11:20:00,BROOKLYN,11212,40.665073,-73.9274,"(40.665073, -73.9274)",EAST 95 STREET                  ,EAST NEW YORK AVENUE,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3772566,Station Wagon/Sport Utility Vehicle,Pick-up Truck,,,,11,2017,2017-10
2017-02-12,03:10:00,MANHATTAN,10011,40.74044,-74.00203,"(40.74044, -74.00203)",8 AVENUE                        ,WEST 15 STREET,,1,0,1,0,0,0,0,0,Unspecified,,,,,3615857,Taxi,,,,,3,2017,2017-02
2016-08-19,20:00:00,Unknown,,40.73768,-73.98045,"(40.73768, -73.98045)",EAST 23 STREET                  ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3504237,Sedan,van,,,,20,2016,2016-08
2014-12-24,17:35:00,BROOKLYN,11210,40.6317075,-73.946481,"(40.6317075, -73.946481)",FLATBUSH AVENUE                 ,AVENUE H                        ,,0,0,0,0,0,0,0,0,Other Vehicular,Unspecified,,,,3142474,PASSENGER VEHICLE,UNKNOWN,,,,17,2014,2014-12
2017-10-14,00:33:00,BROOKLYN,11203,40.644634,-73.943115,"(40.644634, -73.943115)",BROOKLYN AVENUE                 ,CORTELYOU ROAD,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3771007,Station Wagon/Sport Utility Vehicle,Bike,,,,0,2017,2017-10
2017-01-24,01:00:00,QUEENS,11413,40.651405,-73.758896,"(40.651405, -73.758896)",,,230-19    ROCKAWAY BOULEVARD            ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3603410,Tanker,Station Wagon/Sport Utility Vehicle,,,,1,2017,2017-01
2013-01-07,11:55:00,BROOKLYN,11232,40.6572025,-74.0046782,"(40.6572025, -74.0046782)",33 STREET                       ,3 AVENUE                        ,,0,0,0,0,0,0,0,0,Lost Consciousness,Driver Inexperience,,,,157147,PASSENGER VEHICLE,TAXI,,,,11,2013,2013-01
2024-06-22,09:20:00,Unknown,,40.60719,-74.16243,"(40.60719, -74.16243)",VICTORY BOULEVARD,RICHMOND AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4734774,Station Wagon/Sport Utility Vehicle,,,,,9,2024,2024-06
2013-05-21,19:15:00,Unknown,,40.7833329,-73.9436746,"(40.7833329, -73.9436746)",,,,0,0,0,0,0,0,0,0,Other Vehicular,Lost Consciousness,,,,2848898,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,19,2013,2013-05
2019-12-04,10:21:00,Unknown,,40.739193,-73.90128,"(40.739193, -73.90128)",BROOKLYN QUEENS EXPRESSWAY      ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4252290,Chassis Cab,Chassis Cab,,,,10,2019,2019-12
2012-11-13,13:50:00,BROOKLYN,11206,40.7046249,-73.9350216,"(40.7046249, -73.9350216)",WHITE STREET                    ,MOORE STREET                    ,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,194761,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,13,2012,2012-11
2019-08-04,00:00:00,BROOKLYN,11232,40.658413,-74.00357,"(40.658413, -74.00357)",31 STREET                       ,3 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4182453,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,0,2019,2019-08
2020-12-13,14:51:00,Unknown,,40.64983,-74.00909,"(40.64983, -74.00909)",4 AVENUE                        ,,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4375774,Station Wagon/Sport Utility Vehicle,Bike,,,,14,2020,2020-12
2014-12-10,09:50:00,MANHATTAN,10012,40.7291676,-74.0011907,"(40.7291676, -74.0011907)",BLEECKER STREET                 ,MACDOUGAL STREET                ,,0,0,0,0,0,0,0,0,Unspecified,,,,,3133948,SMALL COM VEH(4 TIRES) ,PASSENGER VEHICLE,,,,9,2014,2014-12
2019-06-27,18:06:00,BROOKLYN,11236,40.642574,-73.90235,"(40.642574, -73.90235)",EAST 95 STREET                  ,FLATLANDS AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,4163874,Sedan,,,,,18,2019,2019-06
2020-03-16,18:05:00,Unknown,,40.745148,-73.93348,"(40.745148, -73.93348)",QUEENS BOULEVARD                ,VANDAM STREET,,0,0,0,0,0,0,0,0,Oversized Vehicle,Unspecified,,,,4301121,Station Wagon/Sport Utility Vehicle,Tractor Truck Diesel,,,,18,2020,2020-03
2017-05-23,22:00:00,BROOKLYN,11208,40.67135,-73.870804,"(40.67135, -73.870804)",,,1246      BLAKE AVENUE                  ,3,0,0,0,0,0,3,0,Failure to Yield Right-of-Way,Unspecified,,,,3677682,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,22,2017,2017-05
2023-02-14,20:40:00,Unknown,,40.853813,-73.90734,"(40.853813, -73.90734)",EAST BURNSIDE AVENUE,,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4605623,Sedan,MOPED,,,,20,2023,2023-02
2023-05-05,15:30:00,BROOKLYN,11226,40.65008,-73.96101,"(40.65008, -73.96101)",OCEAN AVENUE,CHURCH AVENUE,,1,0,0,0,0,0,1,0,Other Vehicular,Unsafe Lane Changing,,,,4626448,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,15,2023,2023-05
2015-06-24,15:40:00,BROOKLYN,11215,40.660937,-73.9832362,"(40.660937, -73.9832362)",8 AVENUE                        ,WINDSOR PLACE                   ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3246499,PASSENGER VEHICLE,UNKNOWN,,,,15,2015,2015-06
2014-08-02,08:10:00,Unknown,,40.7686435,-73.9490277,"(40.7686435, -73.9490277)",,,,0,0,0,0,0,0,0,0,Tire Failure/Inadequate,,,,,2849701,PASSENGER VEHICLE,,,,,8,2014,2014-08
2014-10-13,17:12:00,QUEENS,11368,40.7393588,-73.8577027,"(40.7393588, -73.8577027)",MARTENSE AVENUE                 ,GRANGER STREET                  ,,0,0,0,0,0,0,0,0,Lost Consciousness,Unspecified,,,,1038729,PASSENGER VEHICLE,UNKNOWN,,,,17,2014,2014-10
2019-09-20,15:55:00,MANHATTAN,10019,40.762966,-73.973976,"(40.762966, -73.973976)",5 AVENUE                        ,EAST 57 STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,4210020,Taxi,Station Wagon/Sport Utility Vehicle,,,,15,2019,2019-09
2023-01-01,17:35:00,MANHATTAN,10010,40.741753,-73.99364,"(40.741753, -73.99364)",,,676       AVENUE OF THE AMERICAS,0,0,0,0,0,0,0,0,Unsafe Speed,,,,,4595242,Sedan,,,,,17,2023,2023-01
2015-08-28,19:04:00,Unknown,,,,,HAMILTON AVENUE                 ,WEST 9 STREET                   ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3286992,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,19,2015,2015-08
2015-02-27,08:30:00,BROOKLYN,11211,40.7161723,-73.9595114,"(40.7161723, -73.9595114)",BEDFORD AVENUE                  ,NORTH 4 STREET                  ,,1,0,1,0,0,0,0,0,Traffic Control Disregarded,,,,,3178565,VAN,,,,,8,2015,2015-02
2022-02-10,08:30:00,QUEENS,11413,40.6806,-73.74312,"(40.6806, -73.74312)",,,131-68    225 STREET,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,4507439,Sedan,Station Wagon/Sport Utility Vehicle,,,,8,2022,2022-02
2020-09-16,18:30:00,Unknown,,40.812744,-73.937645,"(40.812744, -73.937645)",WEST 135 STREET                 ,,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4348790,Station Wagon/Sport Utility Vehicle,Bike,,,,18,2020,2020-09
2015-08-26,16:37:00,QUEENS,11385,40.6962199,-73.8998689,"(40.6962199, -73.8998689)",DECATUR STREET                  ,CYPRESS AVENUE                  ,,0,0,0,0,0,0,0,0,Lost Consciousness,Unspecified,,,,3285479,PASSENGER VEHICLE,SMALL COM VEH(4 TIRES) ,,,,16,2015,2015-08
2018-08-07,08:50:00,BRONX,10457,40.84664,-73.90469,"(40.84664, -73.90469)",CLAY AVENUE                     ,EAST 175 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3957786,Sedan,Box Truck,,,,8,2018,2018-08
2021-09-03,11:25:00,QUEENS,11354,40.771854,-73.83179,"(40.771854, -73.83179)",29 ROAD,WHITESTONE EXPRESSWAY,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,4453478,Sedan,Sedan,,,,11,2021,2021-09
2013-09-30,10:50:00,Unknown,,40.6103713,-74.1014715,"(40.6103713, -74.1014715)",,,,0,0,0,0,0,0,0,0,Backing Unsafely,Backing Unsafely,,,,3122873,PICK-UP TRUCK,VAN,,,,10,2013,2013-09
2015-07-02,14:00:00,BRONX,10453,40.8558878,-73.9043062,"(40.8558878, -73.9043062)",CAMERON PLACE                   ,WALTON AVENUE                   ,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3250951,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,14,2015,2015-07
2019-05-29,09:20:00,BRONX,10467,40.885616,-73.879074,"(40.885616, -73.879074)",,,3604      JEROME AVENUE                 ,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4141223,Sedan,Station Wagon/Sport Utility Vehicle,,,,9,2019,2019-05
2014-12-19,18:00:00,BROOKLYN,11234,40.633209,-73.9225857,"(40.633209, -73.9225857)",AVENUE H                        ,EAST 56 STREET                  ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3141191,PASSENGER VEHICLE,BUS,,,,18,2014,2014-12
2014-04-06,19:30:00,QUEENS,11377,40.7453924,-73.9066122,"(40.7453924, -73.9066122)",58 STREET                       ,ROOSEVELT AVENUE                ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,317329,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,19,2014,2014-04
2021-07-05,21:57:00,Unknown,,40.57629,-73.968544,"(40.57629, -73.968544)",OCEAN PARKWAY,,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,,,,4437839,Sedan,Taxi,,,,21,2021,2021-07
2014-01-26,11:33:00,BROOKLYN,11229,40.5989385,-73.9554773,"(40.5989385, -73.9554773)",AVENUE U                        ,EAST 16 STREET                  ,,1,0,1,0,0,0,0,0,Unspecified,,,,,121039,OTHER,,,,,11,2014,2014-01
2013-09-25,21:20:00,MANHATTAN,10027,40.8045145,-73.9456919,"(40.8045145, -73.9456919)",WEST 121 STREET                 ,MOUNT MORRIS PARK WEST          ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,64601,PASSENGER VEHICLE,TAXI,,,,21,2013,2013-09
2014-10-01,20:00:00,BRONX,10473,40.8255328,-73.8601164,"(40.8255328, -73.8601164)",BRUCKNER BOULEVARD              ,BOLTON AVENUE                   ,,1,0,0,0,0,0,1,0,Lost Consciousness,Lost Consciousness,,,,1032856,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,20,2014,2014-10
2019-01-16,12:50:00,STATEN ISLAND,10309,40.520927,-74.21736,"(40.520927, -74.21736)",AMBOY ROAD                      ,BEDELL STREET,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4056536,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,12,2019,2019-01
2021-10-23,01:00:00,BRONX,10467,40.8693283,-73.8702759,"(40.8693283, -73.8702759)",,,2972      BRONX PARK EAST,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4470661,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,1,2021,2021-10
2017-02-27,17:30:00,BRONX,10475,40.86718,-73.831,"(40.86718, -73.831)",,,300       BAYCHESTER AVENUE             ,0,0,0,0,0,0,0,0,Unspecified,,,,,3623013,Sedan,,,,,17,2017,2017-02
2016-07-12,18:30:00,Unknown,,,,,LONG ISLAND EXPRESSWAY          ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3479455,4 dr sedan,4 dr sedan,,,,18,2016,2016-07
2015-07-18,15:00:00,Unknown,,40.7435346,-73.7738501,"(40.7435346, -73.7738501)",,,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,3260751,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,15,2015,2015-07
2020-10-24,09:00:00,Unknown,,40.681347,-73.804344,"(40.681347, -73.804344)",VANWYCK EXPRESSWAY              ,115 AVENUE,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4360884,Sedan,Station Wagon/Sport Utility Vehicle,,,,9,2020,2020-10
2015-08-15,09:50:00,BRONX,10455,40.8125992,-73.8989966,"(40.8125992, -73.8989966)",BRUCKNER BOULEVARD              ,TIMPSON PLACE                   ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3277854,PASSENGER VEHICLE,UNKNOWN,,,,9,2015,2015-08
2018-01-08,08:25:00,BROOKLYN,11201,,,,FLATBUSH AVENUE EXTENSION       ,LAFAYETTE STREET,,1,0,0,0,0,0,1,0,Turning Improperly,Unspecified,,,,3824970,Station Wagon/Sport Utility Vehicle,Sedan,,,,8,2018,2018-01
2019-02-08,15:00:00,Unknown,,40.62391,-74.16741,"(40.62391, -74.16741)",SOUTH AVENUE                    ,AMADOR STREET,,0,0,0,0,0,0,0,0,Following Too Closely,Driver Inattention/Distraction,,,,4077261,Sedan,Pick-up Truck,,,,15,2019,2019-02
2022-06-28,13:20:00,BROOKLYN,11206,40.708942,-73.941765,"(40.708942, -73.941765)",HUMBOLDT STREET,SCHOLES STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4543213,Sedan,Sedan,,,,13,2022,2022-06
2023-06-22,10:25:00,QUEENS,11355,40.75714,-73.8271,"(40.75714, -73.8271)",SANFORD AVENUE,KISSENA BOULEVARD,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4639796,Station Wagon/Sport Utility Vehicle,Sedan,,,,10,2023,2023-06
2015-06-20,12:30:00,QUEENS,11419,40.685139,-73.8205936,"(40.685139, -73.8205936)",107 AVENUE                      ,122 STREET                      ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3243133,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,12,2015,2015-06
2024-05-26,19:26:00,Unknown,,,,,LONG ISLAND EXPRESSWAY,COLLEGE POINT BOULEVARD,,0,0,0,0,0,0,0,0,Other Vehicular,,,,,4731088,Sedan,,,,,19,2024,2024-05
2016-09-03,00:00:00,Unknown,,,,,PELHAM PARKWAY SOUTH            ,EASTCHESTER ROAD,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3512762,Sedan,Motorcycle,,,,0,2016,2016-09
2023-01-05,19:00:00,MANHATTAN,10016,40.751522,-73.98023,"(40.751522, -73.98023)",EAST 40 STREET,MADISON AVENUE,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4596158,,,,,,19,2023,2023-01
2013-01-17,13:00:00,Unknown,,,,,,,MUNILOT 1                               ,1,0,1,0,0,0,0,0,Backing Unsafely,,,,,248606,PASSENGER VEHICLE,,,,,13,2013,2013-01
2016-02-06,11:30:00,BROOKLYN,11238,40.675562,-73.9633322,"(40.675562, -73.9633322)",WASHINGTON AVENUE               ,PARK PLACE                      ,,2,0,0,0,0,0,2,0,Other Vehicular,Other Vehicular,,,,3384733,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,11,2016,2016-02
2020-11-22,15:40:00,BRONX,10456,40.82925,-73.90468,"(40.82925, -73.90468)",,,1164      FRANKLIN AVENUE               ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4369957,Station Wagon/Sport Utility Vehicle,Sedan,,,,15,2020,2020-11
2014-09-02,14:06:00,BROOKLYN,11219,40.6284729,-74.0025146,"(40.6284729, -74.0025146)",12 AVENUE                       ,63 STREET                       ,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,1017363,SPORT UTILITY / STATION WAGON,LIVERY VEHICLE,,,,14,2014,2014-09
