crash_date,crash_time,borough,zip_code,latitude,longitude,location,on_street_name,cross_street_name,off_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,contributing_factor_vehicle_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,collision_id,vehicle_type_code_1,vehicle_type_code_2,vehicle_type_code_3,vehicle_type_code_4,vehicle_type_code_5,crash_hour,crash_year,crash_month
2019-01-06,22:20:00,BROOKLYN,11201,40.696014,-73.98414,"(40.696014, -73.98414)",DUFFIELD STREET                 ,TILLARY STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4062985,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,22,2019,2019-01
2015-09-19,04:47:00,BROOKLYN,11249,40.7222435,-73.9588944,"(40.7222435, -73.9588944)",,,F/O 54 NORTH 11 STREET                  ,0,0,0,0,0,0,0,0,Unspecified,,,,,3299666,TAXI,OTHER,,,,4,2015,2015-09
2023-09-03,17:50:00,QUEENS,11435,40.68745,-73.8053,"(40.68745, -73.8053)",141 STREET,LAKEWOOD AVENUE,,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,Unspecified,,,4659230,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,,,17,2023,2023-09
2014-05-15,17:26:00,QUEENS,11374,40.7133793,-73.8596555,"(40.7133793, -73.8596555)",COOPER AVENUE                   ,WOODHAVEN BOULEVARD             ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,336275,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,17,2014,2014-05
2017-08-31,19:31:00,Unknown,,40.60748,-74.01597,"(40.60748, -74.01597)",BAY 7 STREET                    ,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Driver Inattention/Distraction,,,,3741083,Station Wagon/Sport Utility Vehicle,Sedan,,,,19,2017,2017-08
2014-05-18,08:40:00,BROOKLYN,11220,40.6319062,-74.0097059,"(40.6319062, -74.0097059)",64 STREET                       ,9 AVENUE                        ,,0,0,0,0,0,0,0,0,Lost Consciousness,Unspecified,,,,337181,PASSENGER VEHICLE,UNKNOWN,,,,8,2014,2014-05
2013-04-20,13:00:00,QUEENS,11361,40.7590426,-73.774227,"(40.7590426, -73.774227)",NORTHERN BOULEVARD              ,OCEANIA STREET                  ,,1,0,0,0,0,0,1,0,Fatigued/Drowsy,Unspecified,,,,261528,PICK-UP TRUCK,PASSENGER VEHICLE,,,,13,2013,2013-04
2017-05-07,13:20:00,BRONX,10475,40.882576,-73.833145,"(40.882576, -73.833145)",,,3475      BIVONA STREET                 ,1,0,1,0,0,0,0,0,Other Vehicular,Backing Unsafely,,,,3666116,Sedan,Sedan,,,,13,2017,2017-05
2014-07-16,18:15:00,BROOKLYN,11233,40.6791456,-73.9265631,"(40.6791456, -73.9265631)",FULTON STREET                   ,SUMPTER STREET                  ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,995056,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,18,2014,2014-07
2012-09-15,15:30:00,BROOKLYN,11237,40.7139891,-73.9245444,"(40.7139891, -73.9245444)",METROPOLITAN AVENUE             ,SCOTT AVENUE                    ,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,194330,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,15,2012,2012-09
2024-10-05,14:45:00,BRONX,10456,40.83204,-73.90287,"(40.83204, -73.90287)",,,585       EAST 169 STREET,0,0,0,0,0,0,0,0,Steering Failure,Unspecified,,,,4761534,Station Wagon/Sport Utility Vehicle,Sedan,,,,14,2024,2024-10
2018-06-16,18:16:00,Unknown,,40.659496,-73.96057,"(40.659496, -73.96057)",FLATBUSH AVENUE                 ,,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,3923999,Bike,,,,,18,2018,2018-06
2013-10-05,11:30:00,MANHATTAN,10011,40.7434239,-73.9998484,"(40.7434239, -73.9998484)",8 AVENUE                        ,WEST 20 STREET                  ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,20303,PASSENGER VEHICLE,TAXI,,,,11,2013,2013-10
2018-06-07,13:49:00,STATEN ISLAND,10309,40.54167,-74.20798,"(40.54167, -74.20798)",WOODROW ROAD                    ,ROSSVILLE AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3916966,Sedan,,,,,13,2018,2018-06
2022-02-09,13:34:00,Unknown,,40.719456,-73.98193,"(40.719456, -73.98193)",PITT STREET,,,0,0,0,0,0,0,0,0,Unspecified,,,,,4501745,Sedan,,,,,13,2022,2022-02
2017-08-23,08:00:00,Unknown,,,,,97 STREET                       ,DITMARS BOULEVARD,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3777931,Sedan,Bus,,,,8,2017,2017-08
2019-06-16,13:00:00,BROOKLYN,11211,40.71404,-73.92634,"(40.71404, -73.92634)",METROPOLITAN AVENUE             ,GARDNER AVENUE,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,4152988,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,13,2019,2019-06
2016-01-24,14:30:00,BRONX,10452,40.8323165,-73.9316013,"(40.8323165, -73.9316013)",UNIVERSITY AVENUE               ,SEDGWICK AVENUE                 ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3376513,PASSENGER VEHICLE,UNKNOWN,,,,14,2016,2016-01
2014-01-26,21:30:00,BROOKLYN,11201,40.6854487,-73.991332,"(40.6854487, -73.991332)",SMITH STREET                    ,WARREN STREET                   ,,1,0,1,0,0,0,0,0,Pavement Slippery,,,,,191302,PASSENGER VEHICLE,,,,,21,2014,2014-01
2014-01-04,17:50:00,BRONX,10465,40.8262017,-73.8216767,"(40.8262017, -73.8216767)",EAST TREMONT AVENUE             ,RANDALL AVENUE                  ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3147070,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,17,2014,2014-01
2014-01-21,19:25:00,Unknown,,40.7414304,-73.947925,"(40.7414304, -73.947925)",,,,0,0,0,0,0,0,0,0,Pavement Slippery,Unspecified,,,,3046224,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,19,2014,2014-01
2017-07-20,14:45:00,Unknown,,40.62506,-74.13582,"(40.62506, -74.13582)",BARRETT AVENUE                  ,FOREST AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3716325,Motorcycle,Pick-up Truck,,,,14,2017,2017-07
2015-08-22,07:50:00,QUEENS,11372,40.7478292,-73.8820709,"(40.7478292, -73.8820709)",84 STREET                       ,ROOSEVELT AVENUE                ,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3284990,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,7,2015,2015-08
2022-04-06,22:40:00,BROOKLYN,11201,40.68978,-73.98139,"(40.68978, -73.98139)",,,395       FLATBUSH AVENUE EXTENSION,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4516878,Pick-up Truck,Sedan,,,,22,2022,2022-04
2017-01-03,10:00:00,MANHATTAN,10016,40.750706,-73.980835,"(40.750706, -73.980835)",,,260       MADISON AVENUE                ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3592379,Armored Truck,Taxi,,,,10,2017,2017-01
2014-09-18,03:28:00,QUEENS,11372,40.7551702,-73.8890891,"(40.7551702, -73.8890891)",NORTHERN BOULEVARD              ,78 STREET                       ,,3,0,0,0,0,0,3,0,Unspecified,Unspecified,,,,1026396,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,3,2014,2014-09
2022-06-28,15:56:00,Unknown,,40.68064,-73.95338,"(40.68064, -73.95338)",BEDFORD AVENUE,,,0,0,0,0,0,0,0,0,Passing Too Closely,View Obstructed/Limited,,,,4544307,Sedan,,,,,15,2022,2022-06
2015-06-28,15:20:00,QUEENS,11419,40.6905606,-73.8140919,"(40.6905606, -73.8140919)",LIBERTY AVENUE                  ,132 STREET                      ,,0,0,0,0,0,0,0,0,Reaction to Other Uninvolved Vehicle,Unspecified,,,,3248489,OTHER,PASSENGER VEHICLE,,,,15,2015,2015-06
2015-02-15,17:00:00,QUEENS,11385,40.7029703,-73.8682432,"(40.7029703, -73.8682432)",80 STREET                       ,MYRTLE AVENUE                   ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3170431,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,17,2015,2015-02
2013-02-07,14:55:00,QUEENS,11435,40.7038229,-73.8087892,"(40.7038229, -73.8087892)",SUTPHIN BOULEVARD               ,89 AVENUE                       ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,210179,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,14,2013,2013-02
2019-05-25,02:20:00,BRONX,10451,40.820198,-73.921486,"(40.820198, -73.921486)",EAST 153 STREET                 ,MORRIS AVENUE,,1,0,0,0,0,0,1,0,Alcohol Involvement,Unspecified,,,,4139032,Station Wagon/Sport Utility Vehicle,Sedan,,,,2,2019,2019-05
2024-09-04,18:45:00,Unknown,,40.6865,-73.98787,"(40.6865, -73.98787)",DEAN STREET,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4752987,Sedan,Station Wagon/Sport Utility Vehicle,,,,18,2024,2024-09
2023-11-02,17:45:00,Unknown,,40.771374,-73.877144,"(40.771374, -73.877144)",GRAND CENTRAL PKWY,,,2,0,0,0,0,0,2,0,Following Too Closely,Unspecified,,,,4676088,Sedan,Sedan,,,,17,2023,2023-11
2015-10-14,15:20:00,QUEENS,11105,40.7766963,-73.9066767,"(40.7766963, -73.9066767)",21 AVENUE                       ,35 STREET                       ,,2,0,2,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3316104,SPORT UTILITY / STATION WAGON,,,,,15,2015,2015-10
2019-10-27,15:17:00,Unknown,,40.57558,-73.969925,"(40.57558, -73.969925)",SEA BREEZE AVENUE               ,,,1,0,0,0,0,0,1,0,Outside Car Distraction,Unspecified,Unspecified,Unspecified,,4230426,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,15,2019,2019-10
2018-02-26,18:15:00,MANHATTAN,10019,40.76075,-73.97983,"(40.76075, -73.97983)",,,1285      AVENUE OF THE AMERICAS        ,0,0,0,0,0,0,0,0,Passing Too Closely,Following Too Closely,,,,3853004,Station Wagon/Sport Utility Vehicle,Bike,,,,18,2018,2018-02
2018-10-03,14:25:00,BROOKLYN,11215,40.673485,-73.97296,"(40.673485, -73.97296)",8 AVENUE                        ,UNION STREET,,0,0,0,0,0,0,0,0,Passing Too Closely,Oversized Vehicle,,,,3993219,Sedan,Flat Bed,,,,14,2018,2018-10
2024-01-13,17:49:00,BROOKLYN,11236,40.647995,-73.917175,"(40.647995, -73.917175)",,,228       EAST 88 STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4695571,Sedan,Sedan,,,,17,2024,2024-01
2021-06-21,19:00:00,MANHATTAN,10038,40.706787,-74.00512,"(40.706787, -74.00512)",,,180       WATER STREET,0,0,0,0,0,0,0,0,Unspecified,,,,,4429694,Sedan,,,,,19,2021,2021-06
2016-09-27,15:30:00,Unknown,,40.647766,-73.95816,"(40.647766, -73.95816)",ALBEMARLE ROAD                  ,FLATBUSH AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3529758,Bus,Box Truck,,,,15,2016,2016-09
2017-09-14,11:00:00,Unknown,,40.639645,-74.008835,"(40.639645, -74.008835)",7 AVENUE                        ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3750325,Sedan,Station Wagon/Sport Utility Vehicle,,,,11,2017,2017-09
2015-01-22,14:00:00,STATEN ISLAND,10314,40.6125758,-74.1223616,"(40.6125758, -74.1223616)",JOSEPHINE STREET                ,MANOR ROAD                      ,,0,0,0,0,0,0,0,0,Backing Unsafely,Backing Unsafely,,,,3157679,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,14,2015,2015-01
2021-07-26,09:20:00,BRONX,10455,40.81922,-73.91062,"(40.81922, -73.91062)",EAST 156 STREET,SAINT ANNS AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,4440836,Station Wagon/Sport Utility Vehicle,,,,,9,2021,2021-07
2021-07-07,17:45:00,QUEENS,11372,40.750916,-73.87317,"(40.750916, -73.87317)",94 STREET,37 AVENUE,,1,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4436893,Station Wagon/Sport Utility Vehicle,E-Bike,,,,17,2021,2021-07
2015-02-25,19:16:00,Unknown,,,,,EAST 19 STREET                  ,CORTELYOU ROAD                  ,,0,0,0,0,0,0,0,0,Backing Unsafely,Driver Inattention/Distraction,,,,3175987,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,19,2015,2015-02
2017-02-04,10:30:00,BRONX,10463,40.87931,-73.8972,"(40.87931, -73.8972)",,,3337      SEDGWICK AVENUE               ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3610005,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,10,2017,2017-02
2015-08-23,01:25:00,MANHATTAN,10018,40.7522807,-73.9896919,"(40.7522807, -73.9896919)",WEST 36 STREET                  ,7 AVENUE                        ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3283218,PASSENGER VEHICLE,BUS,,,,1,2015,2015-08
2015-12-16,15:01:00,BROOKLYN,11222,40.7270994,-73.9526858,"(40.7270994, -73.9526858)",MANHATTAN AVENUE                ,MESEROLE AVENUE                 ,,0,0,0,0,0,0,0,0,Prescription Medication,Unspecified,,,,3354323,SPORT UTILITY / STATION WAGON,OTHER,,,,15,2015,2015-12
2013-07-17,20:08:00,Unknown,,40.8052248,-73.9321277,"(40.8052248, -73.9321277)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,2864790,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,20,2013,2013-07
2024-10-28,11:12:00,QUEENS,11385,40.712357,-73.9086,"(40.712357, -73.9086)",,,61-19     TONSOR ST,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4767132,Bus,Station Wagon/Sport Utility Vehicle,,,,11,2024,2024-10
2025-09-14,21:34:00,Unknown,,40.713974,-73.953094,"(40.713974, -73.953094)",BROOKLYN QUEENS EXPRESSWAY,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,4842640,Van,Flat Bed,,,,21,2025,2025-09
2024-01-27,13:15:00,Unknown,,,,,,,71        EAST DRIVE,1,0,0,0,1,0,0,0,View Obstructed/Limited,View Obstructed/Limited,,,,4698130,Bike,Bike,,,,13,2024,2024-01
2013-11-09,22:03:00,BROOKLYN,11228,40.6231333,-74.0152413,"(40.6231333, -74.0152413)",10 AVENUE                       ,77 STREET                       ,,0,0,0,0,0,0,0,0,Physical Disability,Unspecified,,,,143872,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,22,2013,2013-11
2013-10-01,11:02:00,MANHATTAN,10016,40.7466818,-73.9744953,"(40.7466818, -73.9744953)",EAST 37 STREET                  ,2 AVENUE                        ,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,36265,BUS,PASSENGER VEHICLE,,,,11,2013,2013-10
2014-09-12,16:50:00,STATEN ISLAND,10312,40.5446537,-74.1654896,"(40.5446537, -74.1654896)",RICHMOND AVENUE                 ,SYLVIA STREET                   ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,1023632,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,16,2014,2014-09
2020-10-11,20:20:00,Unknown,,40.72955,-73.99658,"(40.72955, -73.99658)",WASHINGTON SQUARE SOUTH         ,,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,4356882,Sedan,Tractor Truck Diesel,,,,20,2020,2020-10
2016-06-20,11:00:00,BROOKLYN,11212,40.6553,-73.90318,"(40.6553, -73.90318)",LINDEN BOULEVARD                ,STONE AVENUE,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,3466805,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,11,2016,2016-06
2015-01-22,10:00:00,Unknown,,,,,QUEENS BOULEVARD                ,61 STREET                       ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3157591,SPORT UTILITY / STATION WAGON,UNKNOWN,,,,10,2015,2015-01
2016-09-11,18:55:00,Unknown,,40.78542,-73.98399,"(40.78542, -73.98399)",HENRY HUDSON PARKWAY            ,,,0,0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,,,,,3517390,Sedan,,,,,18,2016,2016-09
2024-03-15,01:36:00,MANHATTAN,10023,40.78056,-73.98022,"(40.78056, -73.98022)",AMSTERDAM AVENUE,WEST 75 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4709791,Taxi,Sedan,,,,1,2024,2024-03
